event_date,fighter_a,fighter_b,fighter_a_matched,fighter_b_matched,both_matched,fighter_a_last_source_date,fighter_b_last_source_date
2023-08-15,george hardwick,abdul-kareem al-selwady,1,1,1,2023-04-15,2023-02-17
2023-08-15,cameron smotherman,charalampos grigoriou,1,1,1,2022-12-18,2021-03-11
2023-08-15,emrah sonmez,hyder amil,1,1,1,2022-12-31,2022-07-29
2023-08-15,janaina silva,eduarda moura,1,1,1,2022-11-04,2023-03-25
2023-08-23,isis verbeek,josefine knutsson,0,0,0,,
2023-08-23,kaik brito,oban elliott,1,1,1,2023-08-22,2023-08-22
2023-08-23,zachary reese,eli aronov,1,1,1,2023-08-22,2023-08-22
2023-08-23,robbie ring,luis pajuelo,1,1,1,2023-08-22,2023-08-22
2023-08-30,mitch ramirez,carlos prates,1,1,1,2023-08-29,2023-08-29
2023-08-30,thomas petersen,chandler cole,1,1,1,2023-08-29,2023-08-29
2023-08-30,bolaji oki,dylan salvador,1,1,1,2018-10-13,2022-01-28
2023-08-30,mateo vogel,timmy cuamba,0,0,0,,
2023-08-30,yousri belgaroui,marco tulio,1,1,1,2022-03-25,2023-01-28
2023-09-06,brendson ribeiro,bruno lopes,1,1,1,2023-09-05,2023-09-05
2023-09-06,rainn guerrero,dione barbosa,1,1,1,2021-08-26,2023-02-10
2023-09-06,dylan budka,chad hanekom,1,1,1,2023-09-05,2023-09-05
2023-09-06,kevin vallejos,jean silva,1,1,1,2023-09-05,2023-09-05
2023-09-06,ramon taveras,serhiy sidey,1,0,0,2023-03-04,
2023-09-13,aj cunningham,steven nguyen,0,1,0,,2023-09-12
2023-09-13,patricia alujas,julia polastri,1,1,1,2023-09-12,2023-09-12
2023-09-13,eduardo neves,jhonata diniz,1,1,1,2023-09-12,2023-09-12
2023-09-13,malik lewis,james llontop,1,1,1,2023-09-12,2023-09-12
2023-09-13,kasey tanner,jean matsumoto,1,1,1,2023-09-12,2023-09-12
2023-09-20,dylan mantello,kaynan kruschewsky,1,1,1,2023-09-19,2023-09-19
2023-09-20,jacobi jones,daniel allen,1,0,0,2023-05-19,
2023-09-20,greg velasco,shamil gaziev,1,1,1,2021-10-02,2023-02-18
2023-09-20,jhonata silva,igor severino,1,1,1,2023-09-19,2023-09-19
2023-09-27,victor madrigal,vinicius oliveira,1,1,1,2023-09-26,2023-09-26
2023-09-27,angel pacheco,danny silva,1,1,1,2023-09-26,2023-09-26
2023-09-27,raheam forest,danny barlow,1,1,1,2023-09-26,2023-09-26
